dClose dFar
70.248524 143.761110
73.429200 114.342864
61.934265 122.544261
98.222126 123.790505
72.479629 133.458103
106.266514 139.940133
52.986310 117.486177
56.681839 117.305878
62.213779 107.393149
53.640443 102.260499
48.118713 114.252858
103.685753 134.937846
64.673103 117.961292
94.566698 152.137338
102.994408 107.041114
49.855170 104.775519
59.643003 117.292026
75.215920 128.356199
124.657075 148.950114
78.215090 130.458178
93.998273 122.436874
57.722163 131.769905
66.739479 137.604834
63.151205 125.891237
47.186246 110.011228
111.020005 111.927705
50.482786 107.600874
48.979339 87.985530
59.487023 115.964815
35.061967 129.231743
35.166729 116.211683
53.309400 106.180941
75.342188 112.926887
115.087709 156.659661
73.936860 146.987533
113.004990 151.013898
62.099407 129.729966
95.670431 123.402292
50.558274 116.894713
119.639266 146.343181
66.680177 136.153462
91.540048 95.614839
64.983329 103.912102
67.336165 126.772680
60.602064 118.807577
111.431530 129.204308
59.454098 124.609417
66.801267 135.584696
93.714008 128.569968
55.913841 135.818370
71.103347 119.367016
96.763772 139.700992
118.371937 139.089717
53.601584 111.022751
77.915154 81.077989
60.858655 109.036036
75.686699 124.142910
73.662606 110.141832
54.098360 137.042850
57.780928 135.649032
62.200065 124.010701
109.570331 150.761763
52.518269 116.445476
57.545109 104.635149
52.667317 129.768532
49.625109 109.976118
53.785929 125.626616
46.974999 110.003427
100.543628 127.140762
99.597958 138.733024
57.493550 110.336914
45.073845 107.193063
65.408479 105.489242
58.258403 101.877692
61.694088 158.200455
94.430073 101.043598
49.524820 128.178474
60.720128 117.403722
57.820258 131.645148
63.082557 134.598242
60.310305 113.817754
60.118816 141.983046
57.283318 106.208032
56.845334 90.560448
62.016710 131.810027
65.675247 114.591375
70.593162 138.997733
113.251576 151.927211
64.629746 98.547233
87.805447 153.603191
75.712068 131.864671
109.540922 115.461381
70.399475 134.336660
61.996279 143.188865
70.653338 104.233407
54.586229 115.616526
106.883081 118.759078
52.358280 107.058879
60.867973 120.513329
63.440852 125.568608
136.275311 149.815407
106.285547 112.943111
65.217630 120.009382
121.920829 145.801641
66.084795 98.940713
77.477364 120.865119
53.406702 108.494701
57.559007 100.405528
61.439068 108.049430
73.050504 105.155815
60.106332 101.905127
64.246451 113.542807
117.317317 131.775687
95.113737 130.564523
81.919583 131.724913
58.680808 118.264792
71.073568 87.842144
59.456565 122.972666
56.922694 112.533599
54.466059 118.297358
69.556935 124.688799
114.056566 142.654606
59.904565 140.140045
49.988322 118.992337
52.146136 124.655217
58.425000 107.069440
51.869781 94.165160
57.978198 108.858207
55.476986 129.506075
95.398145 129.064603
46.716505 113.545773
103.888694 136.334719
56.809753 110.102565
82.633205 173.953539
63.222127 135.050228
65.187236 106.250769
74.474133 117.116856
99.439672 134.993529
47.470050 110.307374
61.388261 106.600766
57.687755 123.381074
117.658449 135.602267
68.936614 109.029516
54.630002 143.075274
59.116911 109.201662
113.898227 136.199086
62.332759 109.860348
56.820534 99.730803
77.741223 165.332720
65.599013 105.190486
65.941246 99.078729
56.296146 103.896903
86.186340 86.320247
69.360485 154.486626
110.658180 139.382590
47.922733 117.821276
76.898589 121.596118
89.139905 135.109089
47.172521 106.305312
56.999509 129.528427
62.906604 107.474218
49.767991 140.376759
68.743646 117.746630
75.354660 120.386459
66.481865 92.786732
58.946206 111.736698
81.378700 94.014098
76.692796 104.770135
61.835878 119.798522
63.128613 113.001495
58.079886 125.935884
62.198751 128.671157
75.480656 118.317841
102.569394 136.229448
59.929186 130.503835
72.428441 116.986705
66.825288 122.215024
128.165425 137.230480
54.999640 108.657391
90.533979 131.966966
55.909914 109.619396
63.425320 116.447087
59.128277 103.034804
87.878726 131.142985
