dClose dFar
58.208489 141.201631
56.608566 118.386094
57.788657 120.800100
57.322837 97.048091
64.013314 140.548840
59.730750 123.512629
61.216220 130.401722
61.368067 128.477451
113.806897 143.170289
83.669256 122.112908
59.655515 118.144525
52.955177 111.358887
82.695478 140.295996
86.932103 127.989696
73.085814 153.048249
69.625039 127.257458
51.473319 109.336189
68.356534 119.075009
65.058817 95.195916
61.032065 133.463915
55.610860 123.639369
91.658239 128.090265
60.771356 118.477165
94.848184 127.390300
119.435133 149.802664
101.730514 163.208398
75.088022 99.432751
76.612714 103.988027
80.458843 120.404911
47.997545 100.624705
48.326466 113.038865
104.300074 145.600648
95.488439 132.258732
116.278398 117.993986
55.450540 117.153137
65.173514 145.132844
87.186998 133.526332
58.223634 122.142644
95.195682 140.606732
58.235759 122.393606
67.483720 110.911358
88.602592 133.626064
48.281222 119.838863
56.381993 139.177731
58.048216 97.256191
51.237924 124.283604
91.094806 119.432367
58.564957 126.876788
59.239246 122.259310
62.915366 147.584737
59.369787 100.056119
57.739025 106.347520
93.355552 125.637074
66.807321 113.790417
55.468548 128.111126
53.647377 123.161296
108.028050 135.241269
89.625472 119.420132
61.190503 138.759185
109.374574 122.821220
52.344783 134.334799
108.486001 124.677319
79.437078 131.918693
53.764911 116.466804
104.353877 149.674844
53.371392 104.675935
50.605279 103.225555
57.206845 111.251822
57.807558 100.555103
59.931679 128.966623
47.147059 124.196723
74.820751 141.952026
58.936010 91.477439
95.230331 150.661638
76.896385 135.600779
52.168975 126.779947
56.566499 107.012725
57.383796 123.719084
57.641900 128.759722
61.780366 112.877357
42.317271 125.795589
109.319227 132.445242
61.335032 161.227754
57.391629 103.495684
59.416262 119.674317
68.600834 137.935785
85.944656 129.295104
99.818526 103.357950
50.217613 114.524230
70.162822 110.900226
61.046546 113.967127
56.808271 100.924088
43.913671 131.589853
62.507873 125.028938
60.727777 115.318736
63.566636 123.985888
89.712930 97.235851
105.490973 133.442703
52.524843 119.918516
85.470748 127.056020
68.407513 106.699075
53.140395 111.354805
62.616319 118.076188
80.814343 121.939889
94.411087 143.685383
65.866032 105.949810
74.269184 106.726998
48.155955 123.955823
82.046141 106.312520
72.588496 115.391621
70.403271 101.400348
60.632163 114.239452
48.066565 125.921076
114.194010 146.955812
62.934506 110.249116
61.342507 126.934603
85.471601 98.395045
57.252181 118.273425
59.111664 123.934636
53.420682 107.399621
61.773945 108.548719
66.690788 121.730127
57.014366 120.181773
54.805934 137.621020
62.255271 109.970988
105.160341 105.215228
96.874638 136.480958
82.955874 116.516648
80.639520 151.956456
66.309709 113.139945
67.536519 125.900785
47.588468 120.148141
88.226024 100.699683
58.060539 123.330490
59.522534 104.059905
106.634953 132.692395
76.698529 128.181569
89.021400 89.293878
42.959189 147.277009
110.166795 130.017236
94.854096 127.780693
75.419019 132.217828
51.611073 120.034399
95.514550 180.226082
80.655460 104.311265
63.704372 96.884806
87.661734 111.254727
105.806947 146.645010
58.299454 109.920821
72.041639 127.116732
65.125418 129.277103
58.733935 124.812135
52.909594 122.535293
58.806754 117.098659
65.480416 122.282331
62.702261 111.400216
55.469499 127.198621
66.030446 120.845738
70.670144 119.790604
55.595857 124.429768
51.144338 124.023997
108.761445 139.521682
53.221354 120.258288
61.718874 107.124683
62.924876 117.896798
92.978006 104.195514
42.675108 112.861687
78.538586 128.583689
63.033879 118.164541
63.432418 106.363000
66.697706 154.683357
62.904570 117.826387
54.718722 98.508732
54.910191 104.531596
80.018100 103.338521
58.858108 136.038811
59.656887 120.624147
72.060173 120.498464
69.786330 94.217583
70.510762 109.009165
77.712953 149.264805
67.917586 126.795804
67.207707 128.071591
63.941163 124.064785
66.734837 114.404157
48.994324 94.794208
63.115054 94.939014
51.136251 112.450904
72.512992 126.658624
62.519833 98.868393
55.792470 87.759391
63.389553 150.681577
66.936640 132.887137
