PC1(0.62) PC2(0.31) 
-0.067418 -2.498031 
0.244578 -2.010381 
0.210186 -2.274415 
-0.082031 -2.113042 
0.311709 -2.272993 
0.329951 -1.927632 
-0.353961 -1.611263 
0.279930 -2.254396 
0.141880 -2.210508 
0.289957 -2.255763 
-0.113428 -1.649869 
0.410015 -1.951381 
0.072426 -2.306277 
0.192367 -2.309164 
-0.028960 -2.204210 
0.034227 -1.757629 
0.232542 -2.126976 
0.045247 -2.457206 
-0.044266 -2.062807 
0.021512 -2.092857 
0.316608 -2.054579 
0.182294 -2.207877 
0.603703 -2.041297 
-0.155911 -2.335671 
0.038001 -2.027814 
-0.107687 -2.092710 
-0.029250 -1.956927 
-0.047883 -2.240395 
0.030626 -2.071649 
0.301993 -2.152046 
0.062059 -2.437116 
0.261512 -2.115682 
0.392841 -2.128686 
-0.439185 -2.321891 
-0.114085 -2.256183 
0.214009 -1.928788 
-0.078870 -2.238178 
-0.009820 -2.145628 
-0.142573 -2.352874 
0.185801 -1.677476 
1.962940 1.786993 
1.201326 1.773798 
1.911813 2.161015 
1.684048 1.439361 
1.275687 2.250020 
2.533517 2.703526 
0.863694 1.788558 
1.256493 1.841547 
3.368434 2.761987 
0.810592 1.449200 
0.744603 2.335542 
0.584181 2.437906 
1.196197 2.475773 
1.642805 1.300966 
2.321731 2.288222 
1.678946 2.107382 
2.008246 2.424357 
0.315191 2.155795 
0.772184 2.120705 
0.148871 1.853106 
0.830533 2.570192 
0.816022 2.339906 
0.704450 2.319256 
0.515337 2.398663 
0.394376 2.139423 
0.438030 1.589085 
1.862744 2.003977 
1.571748 2.476925 
1.690203 2.461283 
0.889389 2.097360 
1.560110 2.427508 
1.720344 3.074765 
2.037231 2.558170 
0.937852 2.708090 
1.572825 2.619722 
0.637818 2.138982 
0.398088 2.035065 
0.244640 2.056148 
0.300178 2.026139 
0.133607 2.361360 
0.659730 2.181917 
0.634634 1.950513 
0.361919 2.768742 
0.461203 2.060463 
0.738247 2.091301 
0.283181 2.502340 
-0.294668 1.877294 
0.205445 1.779070 
0.335751 2.079974 
0.449459 2.123462 
-0.425330 1.414077 
-0.281622 1.127451 
0.639988 2.355901 
0.506966 2.101065 
0.930999 2.110185 
0.391422 2.049951 
0.220310 1.868258 
0.234928 1.780997 
0.721247 2.364698 
0.917155 2.482591 
0.157922 2.398456 
0.529576 2.292418 
0.483682 1.971486 
0.254344 1.971559 
-0.536110 0.896403 
0.591091 2.275000 
0.317888 2.286995 
0.448056 2.351521 
0.394744 2.174975 
0.664825 2.062115 
0.343882 2.254200 
0.807784 2.457025 
0.475133 2.074551 
1.159264 3.124104 
0.448638 3.543631 
0.575393 1.840186 
0.738996 1.903940 
-1.191761 2.735483 
0.700492 3.331334 
0.948753 3.257373 
-0.728396 0.648552 
-0.699800 -0.022971 
-0.605418 0.008218 
-0.692747 0.623099 
-0.573811 0.069276 
-0.322853 1.550275 
-0.696850 0.612643 
-0.089291 0.173409 
-0.675416 0.618946 
-0.571972 0.683708 
-0.238320 0.557069 
-0.840159 0.521147 
-0.641692 0.679911 
-0.330443 -0.159499 
-0.411792 0.345924 
-0.537561 0.500463 
-0.572774 1.199925 
-0.582420 0.408361 
-0.699487 -0.036538 
-0.471742 -0.002594 
0.094826 0.260578 
-0.598629 -0.121235 
-0.371657 1.104688 
-0.607946 0.204118 
-0.572854 0.636065 
-0.484627 1.703454 
-0.434786 0.249644 
-0.914126 0.669523 
-0.218332 0.459695 
-0.494256 0.239656 
-0.469228 0.312485 
-0.696229 0.592981 
-0.443375 0.199706 
-0.586800 0.663267 
-0.749705 0.387166 
-0.648051 0.327454 
-0.515294 0.299981 
-0.731474 0.347000 
-0.633395 0.511102 
-0.322364 -0.087064 
-0.450030 0.028159 
-0.570515 0.528175 
-0.867198 0.773159 
